MGI.ID	pval.protein	pval.mRNA
MGI:1923582	0.362168716	0.053745533
MGI:2450151	0.872007244	0.036226702
MGI:2145130	0.470015633	0.387799805
MGI:2685013	0.930008764	0.000525417
MGI:2142885	0.828950096	0.080874331
MGI:88448	0.32503353	0.359056879
MGI:1341272	0.046311193	0.085562631
MGI:88451	0.203802058	0.000139152
MGI:88467	0.210609674	0.463906751
MGI:88454	0.222496717	0.013276676
MGI:88455	0.000950012	0.103676201
MGI:1915268	0.881068254	0.000166098
MGI:88459	0.241766573	0.840980388
MGI:88460	0.199284369	0.821187539
MGI:88461	0.173545694	0.029828738
MGI:109474	0.596674488	0.019678658
MGI:1916706	0.451212799	0.557840102
MGI:1098806	0.022195276	0.144348238
MGI:88218	0.644589957	0.203393876
